Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Jamaica,JAM,2015,Forest area (% of land area),AG.LND.FRST.ZS,53.320406278855
Jamaica,JAM,2014,Forest area (% of land area),AG.LND.FRST.ZS,52.9693444136657
Jamaica,JAM,2013,Forest area (% of land area),AG.LND.FRST.ZS,52.6182825484765
Jamaica,JAM,2012,Forest area (% of land area),AG.LND.FRST.ZS,52.2672206832872
Jamaica,JAM,2011,Forest area (% of land area),AG.LND.FRST.ZS,51.9161588180979
Jamaica,JAM,2010,Forest area (% of land area),AG.LND.FRST.ZS,51.5650969529086
Jamaica,JAM,2009,Forest area (% of land area),AG.LND.FRST.ZS,51.219298245614
Jamaica,JAM,2008,Forest area (% of land area),AG.LND.FRST.ZS,50.8734995383195
Jamaica,JAM,2007,Forest area (% of land area),AG.LND.FRST.ZS,50.5277008310249
Jamaica,JAM,2006,Forest area (% of land area),AG.LND.FRST.ZS,50.1819021237304
Jamaica,JAM,2005,Forest area (% of land area),AG.LND.FRST.ZS,49.8361034164358
Jamaica,JAM,2004,Forest area (% of land area),AG.LND.FRST.ZS,49.4903047091413
Jamaica,JAM,2003,Forest area (% of land area),AG.LND.FRST.ZS,49.1445060018467
Jamaica,JAM,2002,Forest area (% of land area),AG.LND.FRST.ZS,48.7987072945522
Jamaica,JAM,2001,Forest area (% of land area),AG.LND.FRST.ZS,48.4529085872576
Jamaica,JAM,2000,Forest area (% of land area),AG.LND.FRST.ZS,48.1071098799631
Jamaica,JAM,1999,Forest area (% of land area),AG.LND.FRST.ZS,48.1096952908587
Jamaica,JAM,1998,Forest area (% of land area),AG.LND.FRST.ZS,48.1122807017544
Jamaica,JAM,1997,Forest area (% of land area),AG.LND.FRST.ZS,48.11486611265
Jamaica,JAM,1996,Forest area (% of land area),AG.LND.FRST.ZS,48.1174515235457
Jamaica,JAM,1995,Forest area (% of land area),AG.LND.FRST.ZS,48.1200369344414
Jamaica,JAM,1994,Forest area (% of land area),AG.LND.FRST.ZS,48.122622345337
Jamaica,JAM,1993,Forest area (% of land area),AG.LND.FRST.ZS,48.1252077562327
Jamaica,JAM,1992,Forest area (% of land area),AG.LND.FRST.ZS,48.1277931671283
Jamaica,JAM,1991,Forest area (% of land area),AG.LND.FRST.ZS,48.130378578024
Jamaica,JAM,1990,Forest area (% of land area),AG.LND.FRST.ZS,48.1329639889197
Jamaica,JAM,2010,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,7.28696890576786
Jamaica,JAM,2022,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2021,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2020,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2019,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2018,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2017,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2016,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2015,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2014,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2013,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2012,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2011,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2010,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2009,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2008,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2007,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2006,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2005,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2004,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2003,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2002,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2001,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,2000,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,1999,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,1998,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,1997,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,1996,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,1995,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,1994,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,1993,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,1992,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
