Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Jamaica,JAM,2020,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4643968.35
Jamaica,JAM,2019,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,8082365.95
Jamaica,JAM,2018,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,5293969.83
Jamaica,JAM,2017,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4886313.12817362
Jamaica,JAM,2016,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,5297927.73
Jamaica,JAM,2015,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,5521533.22
Jamaica,JAM,2014,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,6255375.37
Jamaica,JAM,2013,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4993323.07000016
Jamaica,JAM,2012,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4033323.07
Jamaica,JAM,2011,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,3896723.07
Jamaica,JAM,2010,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4861221.77
Jamaica,JAM,2009,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,9134474.76
Jamaica,JAM,2008,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,16607072.7
Jamaica,JAM,2007,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,14948376
Jamaica,JAM,2006,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,11959991.65
Jamaica,JAM,2005,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,12652016
Jamaica,JAM,2004,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,9686649
Jamaica,JAM,2003,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,12000000
Jamaica,JAM,2002,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,6130000
Jamaica,JAM,2001,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,5900000
Jamaica,JAM,2000,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,6400000
Jamaica,JAM,1999,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,6200000
Jamaica,JAM,1998,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,6600000
Jamaica,JAM,1997,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,7000000
Jamaica,JAM,1996,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4300000
Jamaica,JAM,1995,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,3900000
Jamaica,JAM,1994,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,5100000
Jamaica,JAM,1993,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,9200000
Jamaica,JAM,1992,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,3300000
Jamaica,JAM,1991,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2000000
Jamaica,JAM,1990,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,3300000
Jamaica,JAM,1989,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2700000
Jamaica,JAM,1988,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,15300000
Jamaica,JAM,1987,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2600000
Jamaica,JAM,1986,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4100000
Jamaica,JAM,1979,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,400000
Jamaica,JAM,2002,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.06096
Jamaica,JAM,2001,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.0491
Jamaica,JAM,2022,Scientific and technical journal articles,IP.JRN.ARTC.SC,168.07
Jamaica,JAM,2021,Scientific and technical journal articles,IP.JRN.ARTC.SC,212.21
Jamaica,JAM,2020,Scientific and technical journal articles,IP.JRN.ARTC.SC,172.21
Jamaica,JAM,2019,Scientific and technical journal articles,IP.JRN.ARTC.SC,152.88
Jamaica,JAM,2018,Scientific and technical journal articles,IP.JRN.ARTC.SC,197.8
Jamaica,JAM,2017,Scientific and technical journal articles,IP.JRN.ARTC.SC,168.53
Jamaica,JAM,2016,Scientific and technical journal articles,IP.JRN.ARTC.SC,162.19
Jamaica,JAM,2015,Scientific and technical journal articles,IP.JRN.ARTC.SC,155.26
Jamaica,JAM,2014,Scientific and technical journal articles,IP.JRN.ARTC.SC,208.67
Jamaica,JAM,2013,Scientific and technical journal articles,IP.JRN.ARTC.SC,201.42
Jamaica,JAM,2012,Scientific and technical journal articles,IP.JRN.ARTC.SC,206.96
Jamaica,JAM,2011,Scientific and technical journal articles,IP.JRN.ARTC.SC,199.55
Jamaica,JAM,2010,Scientific and technical journal articles,IP.JRN.ARTC.SC,173.98
Jamaica,JAM,2009,Scientific and technical journal articles,IP.JRN.ARTC.SC,206.93
Jamaica,JAM,2008,Scientific and technical journal articles,IP.JRN.ARTC.SC,221.42
Jamaica,JAM,2007,Scientific and technical journal articles,IP.JRN.ARTC.SC,174.49
Jamaica,JAM,2006,Scientific and technical journal articles,IP.JRN.ARTC.SC,144.2
Jamaica,JAM,2005,Scientific and technical journal articles,IP.JRN.ARTC.SC,145.14
Jamaica,JAM,2004,Scientific and technical journal articles,IP.JRN.ARTC.SC,168.78
Jamaica,JAM,2003,Scientific and technical journal articles,IP.JRN.ARTC.SC,141.52
Jamaica,JAM,2002,Scientific and technical journal articles,IP.JRN.ARTC.SC,147.92
Jamaica,JAM,2001,Scientific and technical journal articles,IP.JRN.ARTC.SC,151.66
Jamaica,JAM,2000,Scientific and technical journal articles,IP.JRN.ARTC.SC,107.05
Jamaica,JAM,1999,Scientific and technical journal articles,IP.JRN.ARTC.SC,113.34
Jamaica,JAM,1998,Scientific and technical journal articles,IP.JRN.ARTC.SC,95.74
Jamaica,JAM,1997,Scientific and technical journal articles,IP.JRN.ARTC.SC,107.26
Jamaica,JAM,1996,Scientific and technical journal articles,IP.JRN.ARTC.SC,125.32
Jamaica,JAM,2021,"Patent applications, nonresidents",IP.PAT.NRES,60
Jamaica,JAM,2020,"Patent applications, nonresidents",IP.PAT.NRES,47
Jamaica,JAM,2019,"Patent applications, nonresidents",IP.PAT.NRES,51
Jamaica,JAM,2018,"Patent applications, nonresidents",IP.PAT.NRES,53
Jamaica,JAM,2017,"Patent applications, nonresidents",IP.PAT.NRES,57
Jamaica,JAM,2016,"Patent applications, nonresidents",IP.PAT.NRES,59
Jamaica,JAM,2015,"Patent applications, nonresidents",IP.PAT.NRES,63
Jamaica,JAM,2014,"Patent applications, nonresidents",IP.PAT.NRES,122
Jamaica,JAM,2013,"Patent applications, nonresidents",IP.PAT.NRES,97
Jamaica,JAM,2012,"Patent applications, nonresidents",IP.PAT.NRES,82
Jamaica,JAM,2011,"Patent applications, nonresidents",IP.PAT.NRES,93
